No.;time;;time 1;time 2;Delay;;Delay 1;Delay 2;jitter
237;42,523871;;42,523871;42,530154;0,006283;;0,005831;-0,005224;-0,011055
239;42,530154;;42,530154;42,530606;0,000452;;-0,005224;-0,459513;-0,454289
240;42,530606;;42,530606;42,536282;0,005676;;-0,459513;0,446491;0,906004
243;42,536282;;42,536282;43,001471;0,465189;;0,446491;-0,048929;-0,49542
248;43,001471;;43,001471;43,020169;0,018698;;-0,048929;0,067627;0,116556
249;43,020169;;43,020169;43,087796;0,067627;;0,067627;-0,030961;-0,098588
252;43,087796;;43,087796;43,087796;0;;-0,030961;0,029904;0,060865
254;43,087796;;43,087796;43,118757;0,030961;;0,029904;0,000982;-0,028922
260;43,118757;;43,118757;43,119814;0,001057;;0,000982;-0,008098;-0,00908
261;43,119814;;43,119814;43,119889;7,5E-05;;-0,008098;0,008173;0,016271
262;43,119889;;43,119889;43,128062;0,008173;;0,008173;-0,00014;-0,008313
263;43,128062;;43,128062;43,128062;0;;-0,00014;-0,002993;-0,002853
264;43,128062;;43,128062;43,128202;0,00014;;-0,002993;0,002362;0,005355
265;43,128202;;43,128202;43,131335;0,003133;;0,002362;-0,000206;-0,002568
266;43,131335;;43,131335;43,132106;0,000771;;-0,000206;0,000811;0,001017
267;43,132106;;43,132106;43,133083;0,000977;;0,000811;7,6E-05;-0,000735
268;43,133083;;43,133083;43,133249;0,000166;;7,6E-05;-0,455479;-0,455555
269;43,133249;;43,133249;43,133339;9E-05;;-0,455479;0,455021;0,9105
270;43,133339;;43,133339;43,588908;0,455569;;0,455021;0,000548;-0,454473
274;43,588908;;43,588908;43,589456;0,000548;;0,000548;-6,5E-05;-0,000613
277;43,589456;;43,589456;43,589456;0;;-6,5E-05;-0,031796;-0,031731
278;43,589456;;43,589456;43,589521;6,5E-05;;-0,031796;-0,025633;0,006163
279;43,589521;;43,589521;43,621382;0,031861;;-0,025633;0,057494;0,083127
285;43,621382;;43,621382;43,678876;0,057494;;0,057494;-8,6E-05;-0,05758
286;43,678876;;43,678876;43,678876;0;;-8,6E-05;8,6E-05;0,000172
287;43,678876;;43,678876;43,678962;8,6E-05;;8,6E-05;-3,6E-05;-0,000122
288;43,678962;;43,678962;43,678962;0;;-3,6E-05;-0,00098;-0,000944
